"","ResponseId","Q3_recoded","Q4","Q6"
"175","R_3EhF8WsNKbzFNVC","Human","Mixed Methods","I associate the term reproducibility mostly with quantitative methods and quantitative data. Although even in those contacts there can be quite a degree of variation in what is possible with respect to reproducibility. In my experience there is an increasing effort on the part of journals another publication venues to make the data underlying research reported and publications available with those publications. This is much easier to do with quantitative data (especially when it is anonymous). Essentially reproducibility boils down to the ability of researchers who may wish to check the results claim to buy other researchers."
"176","R_2rHICzIyu1pRFhk","Human","Mixed Methods","to be able to repeat research (e.g. at another time, other case studies) and further to make research comprehensible"
"177","R_2ErYw1LOYFKfhkd","Human","Mixed Methods","That others should be able to come to the same results using the same metods and data"
"178","R_12uqEHmk4rA3InB","Nature/society","Mixed Methods","it means having methods that can be utilized by other researchers to come to similar findings"
"179","R_1cZFDhmTymKxZWU","Human","Quantitative","If you are researching a particular concept/topic and situate it in the current disciplinary understanding, reproducibility means that you're able to apply a known method or establish an accepted understanding in your hypotheses and through your new research effort, confirm or validate that approach or understanding."
"180","R_2U5ijpqLqcMxtYm","Physical","Quantitative","That different researchers, presented with the same evidence, will come to broadly equivalent conclusions"
"181","R_QhnuPQnFc2LQhI5","Nature/society","Qualitative","The objective of testing the results by using the same  methods"
"182","R_3flPxT4AEmOLOTk","Physical","Quantitative","All methods (including data collection, analysis and visualization) must be detailed so that a reader would be able to reproduce the same results by following the methods on the same dataset."
"183","R_3emgvQrP9GpeXiu","Physical","Mixed Methods","reproducibility to me is the development of knowledge, practices, and analysis protocols in the field and laboratory that can be applied to other places and areas of knowledge that have affinity with physical geography, especially soil science and paleoecology."
"184","R_ZfNXMVdUnSiUXpD","Human","Qualitative","to me this term would mean that the methods that have been used to conduct the research can be 'reproduced' by another researcher.  not quite the scientific hypothesis appraoch but not dissimilar"
"185","R_22yVi8Nga67JXDy","Human","Mixed Methods",NA
"186","R_1pMOHEutSwdzxqr","Methods","Quantitative","The ability for someone else to reproduce the results given the input data."
"187","R_1flQYKFTsSIMnWO","Physical","Mixed Methods","Reproducibility is very important for our research."
"188","R_1IGkerQJY4XYlUV","Methods","Mixed Methods","the research should be able to replicate to other area/case with similar concept or same method."
"189","R_1kOHtr8wTJB8quW","Physical","Mixed Methods","The data should be real and reproducible. The results should be robust, stable and reproducible by other researchers."
"190","R_2xFDivcruoNSDht","Physical","Mixed Methods","My understanding of the term is, that I have to work as scientifically correct and precise as possible, so that consequently others can proof or discard my findings."
"191","R_1jO4czjji8JP9pf","Human","Qualitative",NA
"192","R_2rke81G4Mi3t6Yf","Methods","Mixed Methods","The possibility to do the same work in other areas and/or using some other parameters"
"193","R_10OzPKSFnAj98k3","Physical","Quantitative","If another researcher (independent) performs the same experiments as I do, the outcomes should lie within a given uncertainty limit. The experiments should be repeatable and the results not a unique occurrence."
"194","R_1hSDRBTL6L3sgdM","Physical","Quantitative","The method/result of my research is to be applied in different locations with similar conditions."
"195","R_116HHN36zSfxViV","Physical","Quantitative","the description of the analysis should be given in a manner that an expert reader (as research is mostly communicated in written form) should be able to come to the same conclusions using sound scientific analyses and the same data. Access to data is critical as analysis tools generally accessible to anyone with sufficient expertise."
"196","R_WjMvtO6BvOvNEyZ","Methods","Mixed Methods","Reproduction of experimental results by a different research team by applying the same methods described by an initial research group"
"197","R_3RhFWCcFOFANSNP","Methods","Mixed Methods","Reproducibility has several aspects : 
-describe and make available methods and feedbacks in order to give all possible information to researchers or practitioners who would want to re use methods and protocols in other settings/context (not as easy as it sounds to provide useful and synthetic information, i try to have researchers that obersve experimentation with users to make proper feedsbacks)
-describe/make available methods and tools for appropriation re-use
-publication of analysis and feedbacks and dissemination in research conference and professional events
It is difficult to do all and not always possible (time consuming, intellectual property on data, not paid for in projects for stable and durable online availability, etc.)"
"198","R_2cj7VeYLALDM06P","Nature/society","Mixed Methods","As a field scientist it is often not possible to reproduce our research entirely, but the methods and models and statistics employed should theoretically be understandable and reproducible in a similar context by other researchers with nearly the same results."
"199","R_Zsih1UuO5mY3B3b","Human","Qualitative","As a historical geographer, working with qualitative research methods, I understand reproducibility more in terms of sources than of methods. I see reproducible research as being that which makes clear the origin and location of its data."
"200","R_2BaNI5ghpBAK0h8","Methods","Quantitative","Reproducible research usually publishes the data used to justify research claims. If the data cannot be published (as in my case), the description of the methods should allow researchers to replicate the results if they had the same data. These are the practical dimensions of reproducibility. Conceptually, reproducibility is about minimizing or eliminating the bias of subjective decisions, or contextualizing your findings with respect to the methodological choices you make as a researcher."
"201","R_Pwa2G1cjqoIiWqt","Physical","Quantitative","If someone were to travel to my study sites, employ a similar sampling strategy and invest a comparable effort in the lab I believe they would come to the same results and conclusions that my colleagues and I did."
"202","R_DNbFPqtAczho7a9","Methods","Quantitative","My research is clearly and correctly described, so that the other people can get the same result if he or she do the same thing as I describe."
"203","R_1Dvf2sd2qjYIwdh","Methods","Quantitative","Make sure that if other investigators repeat the same kind of analysis, they will obtain similar or same results."
"204","R_2rIKv5rhV8FKofI","Physical","Mixed Methods","Research findings or phenomena can be replicated"
"205","R_3sanAH0uhIkmQ8e","Methods","Mixed Methods","Be replicated by other researchers"
"206","R_71XHh1S1SZfTl2p","Physical","Quantitative","The methods should provide sufficient information to be able to reproduce the results. In quantitative science this should, at minimum, provide all the equations and algorithms used for any calculation. In the interest of increasing transparency in science, the practice of sharing the code should be encouraged."
"207","R_2YtfyilWQL8oUN5","Methods","Mixed Methods","I study transportation infrastructure in cities (streets, sidewalks, bus stops, bike lanes, etc.). For any study I complete, I want the methods to be incredibly clear and datasets to be accessible, such that any interested researcher could re-do the entire study. That is how I think about the work being 'reproducible.'"
"208","R_3JJhESckFZQB09w","Methods","Quantitative","Being clear on the data used, the variables constructed, and the techniques used so that someone can use the same dataset or use the same technique."
"209","R_3KrmJgOtvVecPv3","Human","Mixed Methods","Creating/using research methods that are transferrable to other contexts, as well as sharing data/code from my own research that allows others to repeat or extend that work."
"210","R_2bJZD2bvypeXMTA","Human","Mixed Methods","Being able to reproduce a piece of previous research and obtain the same results by using the same methodology, data and materials."
"211","R_6fgYRiNY653Zpkt","Physical","Mixed Methods","I understand this term in direct association with the principles of the scientific method"
"212","R_2ATnBi9z1wvsYLK","Human","Qualitative","That the methods can be used to conduct a similar study in a different setting that would provide ""similar"" findings (with site-specific differences. Positionality of the researcher also plays into this)"
"213","R_3n79KR2hYWtXWOB","Human","Mixed Methods","The capacity of other scholars to reproduce the results of a research project."
"214","R_ulwFjkrlKNlFfup","Human","Mixed Methods","Allowing peers to fully comprehend and reproduce your study/research by providing maximum (ethically possible) transparency on data sources, methods and analytical steps."
"215","R_3lSSQ48tJqdSASB","Human","Qualitative","reproduction possibilities"
"216","R_PAFAVr13G8evqtH","Human","Qualitative","Using the same data, another researcher could reproduce the same or similar results as I have"
"217","R_12JWLXvtUuGpYyo","Methods","Mixed Methods",NA
"218","R_1Ft9Xi9lnM9FSy7","Methods","Quantitative","Being able to obtain similar results using the same methods and data as the authors"
