"","Q3_recoded","Q4","Q5","Q6"
"178","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","My understanding is that the quantitative data my colleagues and I collect will be identical, or nearly so, to the data collected from the same site or similar sites by other researchers. Of course, the interpretation of those data will be subject to biases inherently present in each researcher."
"179","Human geography","Mixed Methods","Somewhat","To my understanding, reproducibility is a way in which a method, tool, and concept that one has originally produced in his/her research work can be reproduced in other research activities.  For example, OSMnx is a simple python code tool that has been developed by Prof. Geoff Boeing. The tool is used by other researchers to extract road networks from OSM. The road networks that are extracted using this tool can also be reproduced in many ways in ArcGIS."
"180","Geographic methods, GIS, spatial statistics","Mixed Methods","Somewhat","Designing methods in such a way that another researcher of equal skill could replicate results and achieve similar results."
"181","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","Repeatability of analyses and results"
"182","Human geography","Mixed Methods","Somewhat","There are two slightly different meanings for ""reproducibility"" for me. For all of my work, ""reproducibility"" requires adequate description of the methods involved in gathering and analyzing data. By ""adequate"" I mean a peer could duplicate the techniques in the same or similar contexts, but not necessarily with precisely the same data. This includes both quantitative (survey, census, etc.) data and qualitative information (interviews, documents, etc.) With the latter, for example, the identity of the interviewees is typically confidential, and non-anonymous survey data cannot be shared. 

For quantitative work, reproducibility means that peers would arrive at precisely the same conclusions using the (anonymous) data and analytic techniques. This is primarily a check on errors in the data and analyses, and a check on fraudulent practices. They may arrive at different conclusions using the same data but different techniques, or when combined with additional data. And of course, they may have different interpretations of the same results."
"183","Geographic methods, GIS, spatial statistics","Mixed Methods","Somewhat","The experiments will be repeated successfully."
"184","Human geography","Mixed Methods","Somewhat","The possibility to reproduce an enquiry (approach, data collection methods, data analysis, etc.) in another place and/or by other people, in order to strengthen knowledge."
"185","Human geography","Mixed Methods","Somewhat","The ability to generate consistent results and findings through the developing of appropriate research tools and models"
"186","Geographic methods, GIS, spatial statistics","Mixed Methods","Somewhat","Apply and evaluate existing research concepts and workflows to other test sites"
"187","Human geography","Mixed Methods","Somewhat","That others should be able to come to the same results using the same metods and data"
"188","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","Reproducibility is very important for our research."
"189","Geographic methods, GIS, spatial statistics","Mixed Methods","Somewhat","the research should be able to replicate to other area/case with similar concept or same method."
"190","Geographic methods, GIS, spatial statistics","Mixed Methods","Somewhat","The possibility to do the same work in other areas and/or using some other parameters"
"191","Geographic methods, GIS, spatial statistics","Mixed Methods","Somewhat","Reproduction of experimental results by a different research team by applying the same methods described by an initial research group"
"192","Geographic methods, GIS, spatial statistics","Mixed Methods","Somewhat","Be replicated by other researchers"
"193","Nature and society","Mixed Methods","Somewhat","Being able to reproduce a piece of previous research and obtain the same results by using the same methodology, data and materials."
"194","Human geography","Mixed Methods","Somewhat","The capacity of other scholars to reproduce the results of a research project."
"195","Geographic methods, GIS, spatial statistics","Quantitative","Very little","The ability of a research to have its procedures and outcomes reproduced."
"196","Geographic methods, GIS, spatial statistics","Quantitative","Very little","Possibility to recreate the analysis using original data"
"197","Geographic methods, GIS, spatial statistics","Quantitative","Very little","Make sure that if other investigators repeat the same kind of analysis, they will obtain similar or same results."
"198","Human geography","Qualitative","Very little","The extent to which a concept or method can be reproduced in a different context."
"199","Human geography","Qualitative","Very little","obtaining consistent research findings using the same data and analysis methods"
"200","Human geography","Qualitative","Very little","if some had access to the same research participants/primary sources and were using the same methods, they would come to the same conclusions/analysis"
"201","Nature and society","Qualitative","Very little","I have never heard it before in the context of my research. It was never mentioned in any of my PhD training programmes (UK). I assume it means: 'if someone else was to study this topic, would they come to the same conclusions'. In the social sciences, reproducibility is assumed to be difficult to achieve due to each researcher's positionality. Instead, we write our positionalities into our research and don't tend to strive for reproducibility per se, as life scientists would."
"202","Human geography","Qualitative","Very little","Perhaps it refers to whether a certain methodological approach can be reproduced to answer the same RQ but in a different social/geographical context? I would understand it as a synonym of replicability."
"203","Human geography","Qualitative","Very little","I'm actually not sure. I primarily conduct qualitative research and I'm not familiar with the term when it comes to qualitative research. I use the term transferability, reproducibitlity sound more quantitative."
"204","Physical geography, earth and environmental sciences","Qualitative","Very little","I understand it refers to what extent a research methodology and its resulting data set can be reproduced in other place or by other research team to confirm those original results"
"205","Human geography","Mixed Methods","Very little","Carrying out the research and describing it in such a way that it can be repeated (by the same or other teams), in order to assess: the correctness of the results, differences between the surveyed different communities (the question of comparability of results), or changes over time"
"206","Human geography","Mixed Methods","Very little","I prefer using replicability. It means validate research results with a high degree of reliability if the analysis is replicated"
"207","Geographic methods, GIS, spatial statistics","Mixed Methods","Very little",NA
"208","Geographic methods, GIS, spatial statistics","Mixed Methods","Very little","Methodology which can be used by otjer researchers"
"209","Human geography","Mixed Methods","Very little","to be able to repeat research (e.g. at another time, other case studies) and further to make research comprehensible"
"210","Physical geography, earth and environmental sciences","Mixed Methods","Very little","Research findings or phenomena can be replicated"
"211","NA","NA","Very little","It is an experimental standard.
"
